article_title,author_number,author_human_id,author_first_name,author_last_name,author_affiliation,year,paper_id,mean_overall_score_for_presentation,mean_acceptance_rate
Improvising Cinema,5,Macie---Etienne---Governors State University at Thornwood High School,Macie,Etienne,Governors State University at Thornwood High School,2011,2011---75,3.6,0.4
Improvising Cinema,6,Remedios---Sumrell---Webster University,Remedios,Sumrell,Webster University,2011,2011---75,3.6,0.4
Improvising Cinema,7,Danna---Shantz---Mid-Plains Community College - Imperial Extended Campus,Danna,Shantz,Mid-Plains Community College - Imperial Extended Campus,2011,2011---75,3.6,0.4
Transformation of Rage: Mourning and Creativity in George Eliot's Fiction,1,Jude---Wyss---University of Michigan Dearborn,Jude,Wyss,University of Michigan Dearborn,2011,2011---76,3,0
Transformation of Rage: Mourning and Creativity in George Eliot's Fiction,2,Brynn---Ranks---Language Consultants International (LCI) Kansas City,Brynn,Ranks,Language Consultants International (LCI) Kansas City,2011,2011---76,3,0
Transformation of Rage: Mourning and Creativity in George Eliot's Fiction,3,Marcelo---Barban---No Grease Barber School,Marcelo,Barban,No Grease Barber School,2011,2011---76,3,0
Assessment of the Air Force Materiel Command Reorganization: Report for Congress,1,Halley---Alber---Haywood Community College,Halley,Alber,Haywood Community College,2011,2011---77,2.6,0
Assessment of the Air Force Materiel Command Reorganization: Report for Congress,2,Gisele---Norstrand---Tri-City Community Mental Health Center,Gisele,Norstrand,Tri-City Community Mental Health Center,2011,2011---77,2.6,0
Assessment of the Air Force Materiel Command Reorganization: Report for Congress,3,Marylin---Nealy---Endicott College at Immaculate Conception School,Marylin,Nealy,Endicott College at Immaculate Conception School,2011,2011---77,2.6,0
Assessment of the Air Force Materiel Command Reorganization: Report for Congress,4,Modesta---Fraleigh---Winfield Allied Health,Modesta,Fraleigh,Winfield Allied Health,2011,2011---77,2.6,0
Installation Art and the Museum: Presentation and Conservation of Changing Artworks,1,Roxann---Jenab---Mercer County Technical Schools - Sypek Center,Roxann,Jenab,Mercer County Technical Schools - Sypek Center,2011,2011---78,4.166666666666667,0.5
Installation Art and the Museum: Presentation and Conservation of Changing Artworks,2,Rhiannon---Quero---Lebanon VA Medical Center General Practice Dentistry Residency,Rhiannon,Quero,Lebanon VA Medical Center General Practice Dentistry Residency,2011,2011---78,4.166666666666667,0.5
Installation Art and the Museum: Presentation and Conservation of Changing Artworks,3,Ivan---Devillez---The Hair Academy,Ivan,Devillez,The Hair Academy,2011,2011---78,4.166666666666667,0.5
Installation Art and the Museum: Presentation and Conservation of Changing Artworks,4,Peter---Boileau---National Louis University at Collins Academy High School,Peter,Boileau,National Louis University at Collins Academy High School,2011,2011---78,4.166666666666667,0.5
Installation Art and the Museum: Presentation and Conservation of Changing Artworks,5,Miguel---Perpall---Des Moines Area Community College at DMACC Career Academy/Hunziker Center,Miguel,Perpall,Des Moines Area Community College at DMACC Career Academy/Hunziker Center,2011,2011---78,4.166666666666667,0.5
Adat Atjèh: Reproduced in Facsimile from a Manuscript in the India Office Library,1,Tamika---Malory---Piedmont HS,Tamika,Malory,Piedmont HS,2011,2011---79,2.5,0.3333333333333333
Adat Atjèh: Reproduced in Facsimile from a Manuscript in the India Office Library,2,"Jacinto---Dedo---DeSigner Barber & Stylist School, LLC",Jacinto,Dedo,"DeSigner Barber & Stylist School, LLC",2011,2011---79,2.5,0.3333333333333333
Adat Atjèh: Reproduced in Facsimile from a Manuscript in the India Office Library,3,Corine---Hickonbottom---Carteret Community College,Corine,Hickonbottom,Carteret Community College,2011,2011---79,2.5,0.3333333333333333
"Francisco Vieira de Figueiredo: A Portuguese Merchant-Adventurer in South East Asia, 1624-1667",1,Earlean---Delprete---Western Hills School of Beauty and Hair Design,Earlean,Delprete,Western Hills School of Beauty and Hair Design,2011,2011---80,2.4,0.4
"Francisco Vieira de Figueiredo: A Portuguese Merchant-Adventurer in South East Asia, 1624-1667",2,Laveta---Landacre---Cosmetology Center,Laveta,Landacre,Cosmetology Center,2011,2011---80,2.4,0.4
"Francisco Vieira de Figueiredo: A Portuguese Merchant-Adventurer in South East Asia, 1624-1667",3,Cassey---Nickodem---Upper Iowa University at Wausau: NTC - Wittenberg,Cassey,Nickodem,Upper Iowa University at Wausau: NTC - Wittenberg,2011,2011---80,2.4,0.4
Europa an der Oder: Die Konstruktion europäischer Sicherheit an der deutsch-polnischen Grenze,1,Patrica---Ketelaar---Southwestern Oklahoma State University at Keyes High School,Patrica,Ketelaar,Southwestern Oklahoma State University at Keyes High School,2011,2011---81,4.5,0.16666666666666666
Europa an der Oder: Die Konstruktion europäischer Sicherheit an der deutsch-polnischen Grenze,2,Celena---Duffett---Maricopa Community Colleges-Rio Salado Community College at Deer Valley HS,Celena,Duffett,Maricopa Community Colleges-Rio Salado Community College at Deer Valley HS,2011,2011---81,4.5,0.16666666666666666
Europa an der Oder: Die Konstruktion europäischer Sicherheit an der deutsch-polnischen Grenze,3,Carley---Salman---North Campus,Carley,Salman,North Campus,2011,2011---81,4.5,0.16666666666666666
Europa an der Oder: Die Konstruktion europäischer Sicherheit an der deutsch-polnischen Grenze,4,Arletha---Mince---University of Denver at Ritchie Program - Denver Public Schools,Arletha,Mince,University of Denver at Ritchie Program - Denver Public Schools,2011,2011---81,4.5,0.16666666666666666
La construcción social y política del medio ambiente,1,Angelia---Laabs---Marycrest International University,Angelia,Laabs,Marycrest International University,2011,2011---82,2.8,0.2
La construcción social y política del medio ambiente,2,Gabriele---Zwiebel---Indiana Wesleyan University at Westgate Academy Conferencing & Training Ctr.,Gabriele,Zwiebel,Indiana Wesleyan University at Westgate Academy Conferencing & Training Ctr.,2011,2011---82,2.8,0.2
La construcción social y política del medio ambiente,3,Renato---Klintworth---Saint Mary's University of Minnesota at Dakota Meadows Middle School,Renato,Klintworth,Saint Mary's University of Minnesota at Dakota Meadows Middle School,2011,2011---82,2.8,0.2
La construcción social y política del medio ambiente,4,Jann---Dean---Southern West Virginia Community and Technical College - Williamson Campus,Jann,Dean,Southern West Virginia Community and Technical College - Williamson Campus,2011,2011---82,2.8,0.2
La construcción social y política del medio ambiente,5,Basilia---Truly---Southern New Hampshire University at Shaftsbury Elementary School,Basilia,Truly,Southern New Hampshire University at Shaftsbury Elementary School,2011,2011---82,2.8,0.2
La construcción social y política del medio ambiente,6,Gabriel---Seale---Minnesota State University Moorhead at North Hennepin CC,Gabriel,Seale,Minnesota State University Moorhead at North Hennepin CC,2011,2011---82,2.8,0.2
Historia y nación (actas del Congreso en homenaje a Josefina Zoraida Vázquez): I. Historia de la educación y enseñanza de la historia,1,Andria---Gansburg---Long Island University - C.W. Post Campus at Nassau County Department of Social Services,Andria,Gansburg,Long Island University - C.W. Post Campus at Nassau County Department of Social Services,2011,2011---83,3.1666666666666665,0.5
Historia y nación (actas del Congreso en homenaje a Josefina Zoraida Vázquez): I. Historia de la educación y enseñanza de la historia,2,Angelika---Minier---Naval Medical Center Portsmouth,Angelika,Minier,Naval Medical Center Portsmouth,2011,2011---83,3.1666666666666665,0.5
Historia y nación (actas del Congreso en homenaje a Josefina Zoraida Vázquez): I. Historia de la educación y enseñanza de la historia,3,Adrienne---Rosebure---Bennington College,Adrienne,Rosebure,Bennington College,2011,2011---83,3.1666666666666665,0.5
Historia y nación (actas del Congreso en homenaje a Josefina Zoraida Vázquez): I. Historia de la educación y enseñanza de la historia,4,Shawanna---Derer---White Earth Tribal and Community College,Shawanna,Derer,White Earth Tribal and Community College,2011,2011---83,3.1666666666666665,0.5
Historia y nación (actas del Congreso en homenaje a Josefina Zoraida Vázquez): I. Historia de la educación y enseñanza de la historia,5,Tuyet---Ohara---Bethany Lutheran College,Tuyet,Ohara,Bethany Lutheran College,2011,2011---83,3.1666666666666665,0.5
Tweets and the Streets: Social Media and Contemporary Activism,1,Salley---Urzua---Community College of Allegheny County at Washington County Center,Salley,Urzua,Community College of Allegheny County at Washington County Center,2011,2011---84,4.333333333333333,0.3333333333333333
Tweets and the Streets: Social Media and Contemporary Activism,2,Emilio---Palmiotto---Brown Mackie College - Michigan City,Emilio,Palmiotto,Brown Mackie College - Michigan City,2011,2011---84,4.333333333333333,0.3333333333333333
Tweets and the Streets: Social Media and Contemporary Activism,3,"Stormy---Pfalmer---UA Local 290 College of Mechanical Systems & Technology, Eureka Training Center",Stormy,Pfalmer,"UA Local 290 College of Mechanical Systems & Technology, Eureka Training Center",2011,2011---84,4.333333333333333,0.3333333333333333
Tweets and the Streets: Social Media and Contemporary Activism,4,Carolyn---Randoll---CCCOnline,Carolyn,Randoll,CCCOnline,2011,2011---84,4.333333333333333,0.3333333333333333
Tweets and the Streets: Social Media and Contemporary Activism,5,Jayson---Colder---Southwestern Community College,Jayson,Colder,Southwestern Community College,2011,2011---84,4.333333333333333,0.3333333333333333
Tweets and the Streets: Social Media and Contemporary Activism,6,Jarvis---Pimple---Phoenix Children's Hospital,Jarvis,Pimple,Phoenix Children's Hospital,2011,2011---84,4.333333333333333,0.3333333333333333
Tweets and the Streets: Social Media and Contemporary Activism,7,Lurlene---Shurkus---University of Wisconsin - Oshkosh at Cooperative Education Service Agency 3 (CES,Lurlene,Shurkus,University of Wisconsin - Oshkosh at Cooperative Education Service Agency 3 (CES,2011,2011---84,4.333333333333333,0.3333333333333333
America's Role in Nation-Building: From Germany to Iraq,1,Mallie---Czarnik---Lindenwood University at Parkway School District,Mallie,Czarnik,Lindenwood University at Parkway School District,2011,2011---85,3.8333333333333335,0.3333333333333333
America's Role in Nation-Building: From Germany to Iraq,2,Candi---Elgin---National College of Midwifery,Candi,Elgin,National College of Midwifery,2011,2011---85,3.8333333333333335,0.3333333333333333
America's Role in Nation-Building: From Germany to Iraq,3,Raelene---Mozak---University of Wisconsin - La Crosse at La Crosse Logan High School,Raelene,Mozak,University of Wisconsin - La Crosse at La Crosse Logan High School,2011,2011---85,3.8333333333333335,0.3333333333333333
America's Role in Nation-Building: From Germany to Iraq,4,Clarence---Mundz---Cambridge Institute of Allied Health and Technology - Atlanta,Clarence,Mundz,Cambridge Institute of Allied Health and Technology - Atlanta,2011,2011---85,3.8333333333333335,0.3333333333333333
America's Role in Nation-Building: From Germany to Iraq,5,Lupita---Spickler---Sachem Central School District,Lupita,Spickler,Sachem Central School District,2011,2011---85,3.8333333333333335,0.3333333333333333
America's Role in Nation-Building: From Germany to Iraq,6,Everette---Clanin---Carolina School of Broadcasting - Charlotte,Everette,Clanin,Carolina School of Broadcasting - Charlotte,2011,2011---85,3.8333333333333335,0.3333333333333333
"The Black Worker, Volume 5: The Black Worker from 1900 to 1919",1,Tasia---Annonio---Southern New Hampshire University at Anchorage Behavioral Health,Tasia,Annonio,Southern New Hampshire University at Anchorage Behavioral Health,2011,2011---86,2,0
"The Black Worker, Volume 5: The Black Worker from 1900 to 1919",2,Emmaline---Empey---Kaplan Test Prep,Emmaline,Empey,Kaplan Test Prep,2011,2011---86,2,0
"The Black Worker, Volume 5: The Black Worker from 1900 to 1919",3,Glynda---Ragland---Jolie Hair and Beauty Academy,Glynda,Ragland,Jolie Hair and Beauty Academy,2011,2011---86,2,0
"The Black Worker, Volume 5: The Black Worker from 1900 to 1919",4,Trey---Lambing---Tennessee Truck Driving School,Trey,Lambing,Tennessee Truck Driving School,2011,2011---86,2,0
"The Black Worker, Volume 5: The Black Worker from 1900 to 1919",5,Blair---Faupel---Gentle Healing School of Massage,Blair,Faupel,Gentle Healing School of Massage,2011,2011---86,2,0
"The Black Worker, Volume 5: The Black Worker from 1900 to 1919",6,Valda---Lemcke---Endicott College at U.S. Coast Guard Station,Valda,Lemcke,Endicott College at U.S. Coast Guard Station,2011,2011---86,2,0
"The Black Worker, Volume 5: The Black Worker from 1900 to 1919",7,Ria---Hokanson---Tyler Junior College,Ria,Hokanson,Tyler Junior College,2011,2011---86,2,0
La Constitución de 1824: la consolidación de un pacto mínimo,1,Susann---Schwager---Concorde Career College,Susann,Schwager,Concorde Career College,2011,2011---87,4,0.5
La Constitución de 1824: la consolidación de un pacto mínimo,2,Terrell---Rowand---National Louis University at Delnor-Community Hospital,Terrell,Rowand,National Louis University at Delnor-Community Hospital,2011,2011---87,4,0.5
La Constitución de 1824: la consolidación de un pacto mínimo,3,Bo---Bachor---University of Phoenix at Citrus Valley Health Partners,Bo,Bachor,University of Phoenix at Citrus Valley Health Partners,2011,2011---87,4,0.5
La Constitución de 1824: la consolidación de un pacto mínimo,4,Teofila---Doung---Berlitz Language Centers,Teofila,Doung,Berlitz Language Centers,2011,2011---87,4,0.5
La Constitución de 1824: la consolidación de un pacto mínimo,5,Micheal---Prabhakar---University of Wyoming at Hanna UW Outreach,Micheal,Prabhakar,University of Wyoming at Hanna UW Outreach,2011,2011---87,4,0.5
The Court as Archive,1,Leigh---Caton---California International Business University,Leigh,Caton,California International Business University,2011,2011---88,2.8,0.4
The Court as Archive,2,Chassidy---Stuard---American International College at Arlington High School,Chassidy,Stuard,American International College at Arlington High School,2011,2011---88,2.8,0.4
The Court as Archive,3,Forrest---Witherite---Briar Cliff - Mercy Medical,Forrest,Witherite,Briar Cliff - Mercy Medical,2011,2011---88,2.8,0.4
Romancero tradicional de América,1,Ricardo---Shiflett---Strayer University - Fairview Park Campus,Ricardo,Shiflett,Strayer University - Fairview Park Campus,2011,2011---89,3,0.3333333333333333
Romancero tradicional de América,2,Susannah---Brumbelow---The Business Center,Susannah,Brumbelow,The Business Center,2011,2011---89,3,0.3333333333333333
Romancero tradicional de América,3,Maximina---Loverink---Moody Bible Institute at Ft. Myers,Maximina,Loverink,Moody Bible Institute at Ft. Myers,2011,2011---89,3,0.3333333333333333
Bildung und Erziehung im Kontext globaler Transformationen,1,Pauline---Elizando---Oxnard Adult School,Pauline,Elizando,Oxnard Adult School,2011,2011---90,2.5,0
Bildung und Erziehung im Kontext globaler Transformationen,2,Avery---Murden---Indiana Wesleyan University at Columbus Education Center,Avery,Murden,Indiana Wesleyan University at Columbus Education Center,2011,2011---90,2.5,0
Near-Term Opportunities for Integrating Biomass into the U.S. Electricity Supply: Technical Considerations,1,Asia---Ore---Sanford-Brown College,Asia,Ore,Sanford-Brown College,2011,2011---91,3,0.2
Near-Term Opportunities for Integrating Biomass into the U.S. Electricity Supply: Technical Considerations,2,Jamison---Reams---The National Massage Therapy Institute - Wilmington,Jamison,Reams,The National Massage Therapy Institute - Wilmington,2011,2011---91,3,0.2
Near-Term Opportunities for Integrating Biomass into the U.S. Electricity Supply: Technical Considerations,3,Alva---Tassa---University of Wyoming at Eastern Wyoming Regional Outreach Center - Eastern Wyoming College,Alva,Tassa,University of Wyoming at Eastern Wyoming Regional Outreach Center - Eastern Wyoming College,2011,2011---91,3,0.2
Near-Term Opportunities for Integrating Biomass into the U.S. Electricity Supply: Technical Considerations,4,Angle---Marque---Lesley University at Spencer Borden Elementary,Angle,Marque,Lesley University at Spencer Borden Elementary,2011,2011---91,3,0.2
Near-Term Opportunities for Integrating Biomass into the U.S. Electricity Supply: Technical Considerations,5,Ngan---Soler---Creekside Adult School - Mule Creek State Prison,Ngan,Soler,Creekside Adult School - Mule Creek State Prison,2011,2011---91,3,0.2
Near-Term Opportunities for Integrating Biomass into the U.S. Electricity Supply: Technical Considerations,6,Stephenie---Beerling---Southeastern Community College - Keokuk Campus,Stephenie,Beerling,Southeastern Community College - Keokuk Campus,2011,2011---91,3,0.2
Intersex Narratives: Shifts in the Representation of Intersex Lives in North American Literature and Popular Culture,1,Kiesha---Mclelland---Argosy University - Camp Williams,Kiesha,Mclelland,Argosy University - Camp Williams,2011,2011---92,3.25,0.25
Intersex Narratives: Shifts in the Representation of Intersex Lives in North American Literature and Popular Culture,2,Lonny---Zeliff---GWU at Gaston Center,Lonny,Zeliff,GWU at Gaston Center,2011,2011---92,3.25,0.25
History Of Louisa Barnes Pratt,1,Francina---Fair---Baker University at Tiffany Springs Parkway,Francina,Fair,Baker University at Tiffany Springs Parkway,2011,2011---93,3,0.2
History Of Louisa Barnes Pratt,2,Iraida---Hummingbird---Ivy Tech Community College of Indiana at Area 31 Career Programs,Iraida,Hummingbird,Ivy Tech Community College of Indiana at Area 31 Career Programs,2011,2011---93,3,0.2
History Of Louisa Barnes Pratt,3,Herbert---Hellams---New England College at Central Maine Healthcare,Herbert,Hellams,New England College at Central Maine Healthcare,2011,2011---93,3,0.2
History Of Louisa Barnes Pratt,4,Arlie---Nakonechny---Bethel University at Wilder Center,Arlie,Nakonechny,Bethel University at Wilder Center,2011,2011---93,3,0.2
History Of Louisa Barnes Pratt,5,Rosalba---Crase---Ivy Tech Community College of Indiana at Shelbyville Intelliplex,Rosalba,Crase,Ivy Tech Community College of Indiana at Shelbyville Intelliplex,2011,2011---93,3,0.2
History Of Louisa Barnes Pratt,6,Robin---Pack---William Paterson University of New Jersey at Sussex County Community College,Robin,Pack,William Paterson University of New Jersey at Sussex County Community College,2011,2011---93,3,0.2
China’s Expanding Role in Global Mergers and Acquisitions Markets,1,Trang---Ehrman---National Graduate School of Quality Management at US Coast Guard Sector Corpus Christie,Trang,Ehrman,National Graduate School of Quality Management at US Coast Guard Sector Corpus Christie,2011,2011---94,3.25,0.5
China’s Expanding Role in Global Mergers and Acquisitions Markets,2,Anh---Limage---Lexington HS,Anh,Limage,Lexington HS,2011,2011---94,3.25,0.5
China’s Expanding Role in Global Mergers and Acquisitions Markets,3,Shandra---Rushman---Butera School of Art,Shandra,Rushman,Butera School of Art,2011,2011---94,3.25,0.5
China’s Expanding Role in Global Mergers and Acquisitions Markets,4,Nickie---Hofius---Morgan Community College at Genoa-Hugo High School,Nickie,Hofius,Morgan Community College at Genoa-Hugo High School,2011,2011---94,3.25,0.5
China’s Expanding Role in Global Mergers and Acquisitions Markets,5,"Melony---Tafel---National Graduate School of Quality Management at Boeing Company, Hazelwood",Melony,Tafel,"National Graduate School of Quality Management at Boeing Company, Hazelwood",2011,2011---94,3.25,0.5
China’s Expanding Role in Global Mergers and Acquisitions Markets,6,King---Depoyster---Carrington College - Westside,King,Depoyster,Carrington College - Westside,2011,2011---94,3.25,0.5
Coastal Louisiana Risk Assessment Model: Technical Description and 2012 Coastal Master Plan Analysis Results,1,Brandi---Malstrom---EC Boston - Miami Beach,Brandi,Malstrom,EC Boston - Miami Beach,2011,2011---95,3.2,0.4
Coastal Louisiana Risk Assessment Model: Technical Description and 2012 Coastal Master Plan Analysis Results,2,Melany---Skafidas---Fontbonne University at SSM Health Care,Melany,Skafidas,Fontbonne University at SSM Health Care,2011,2011---95,3.2,0.4
Coastal Louisiana Risk Assessment Model: Technical Description and 2012 Coastal Master Plan Analysis Results,3,Kortney---Mehrotra---Argosy University - Clay National mrd Center,Kortney,Mehrotra,Argosy University - Clay National mrd Center,2011,2011---95,3.2,0.4
"Complexity, Security and Civil Society in East Asia: Foreign Policies and the Korean Peninsula",1,Leonore---Millon---Pikes Peak Community College at Fort Carson Army Education Center,Leonore,Millon,Pikes Peak Community College at Fort Carson Army Education Center,2011,2011---96,4.166666666666667,0.5
"Complexity, Security and Civil Society in East Asia: Foreign Policies and the Korean Peninsula",2,Ranae---Qualia---Colorado Academy of Veterinary Technology,Ranae,Qualia,Colorado Academy of Veterinary Technology,2011,2011---96,4.166666666666667,0.5
"Complexity, Security and Civil Society in East Asia: Foreign Policies and the Korean Peninsula",3,Reynaldo---Pacini---Oglala Lakota College at East Wakpamni College Center,Reynaldo,Pacini,Oglala Lakota College at East Wakpamni College Center,2011,2011---96,4.166666666666667,0.5
"Complexity, Security and Civil Society in East Asia: Foreign Policies and the Korean Peninsula",4,Mechelle---Utecht---Point Park University at Propel Braddock Hills High School,Mechelle,Utecht,Point Park University at Propel Braddock Hills High School,2011,2011---96,4.166666666666667,0.5
"Moving Forward, Looking Back: The European Avant-garde and the Invention of Film Culture, 1919-1939",1,Leena---Jacquez---College of Marin,Leena,Jacquez,College of Marin,2011,2011---97,2,0.16666666666666666
La introducción del aristotelismo en China a través del De anima: Siglos XVI-XVII,1,Antione---Beemer---Siouxland College of Massage Therapy,Antione,Beemer,Siouxland College of Massage Therapy,2011,2011---98,3.2,0.4
La introducción del aristotelismo en China a través del De anima: Siglos XVI-XVII,2,Cherly---Ohanian---The Devereux Foundation,Cherly,Ohanian,The Devereux Foundation,2011,2011---98,3.2,0.4
South Asian Partition Fiction in English: From Khushwant Singh to Amitav Ghosh,1,Clarita---Kohls---Baylor All Saints Medical Center,Clarita,Kohls,Baylor All Saints Medical Center,2011,2011---99,3.2,0
South Asian Partition Fiction in English: From Khushwant Singh to Amitav Ghosh,2,Lucilla---Wydner---Shoals Campus,Lucilla,Wydner,Shoals Campus,2011,2011---99,3.2,0
South Asian Partition Fiction in English: From Khushwant Singh to Amitav Ghosh,3,Jodie---Lobstein---Ascension Genesys Hospital,Jodie,Lobstein,Ascension Genesys Hospital,2011,2011---99,3.2,0
South Asian Partition Fiction in English: From Khushwant Singh to Amitav Ghosh,4,Tawny---Mulderig---Cortiva Institute - Boston,Tawny,Mulderig,Cortiva Institute - Boston,2011,2011---99,3.2,0
South Asian Partition Fiction in English: From Khushwant Singh to Amitav Ghosh,5,Curt---Nolen---Louisiana Technical College - Allen Correctional Center,Curt,Nolen,Louisiana Technical College - Allen Correctional Center,2011,2011---99,3.2,0
South Asian Partition Fiction in English: From Khushwant Singh to Amitav Ghosh,6,Richard---Sharkey---Centenary College at Rockaway Township School District,Richard,Sharkey,Centenary College at Rockaway Township School District,2011,2011---99,3.2,0
South Asian Partition Fiction in English: From Khushwant Singh to Amitav Ghosh,7,Huey---Shoats---Ivy Tech Community College of Indiana at Princeton High School,Huey,Shoats,Ivy Tech Community College of Indiana at Princeton High School,2011,2011---99,3.2,0
"Die böhmischen Länder in den Wiener Zeitschriften und Almanachen des Vormärz (1805-1848), Teil 3: Kunst: Tschechische nationale Wiedergeburt - Kultur- und Landeskunde von Böhmen, Mähren und Schlesien - Kulturelle Beziehungen zu Wien",1,Yuk---Torrent---Community Reach Center,Yuk,Torrent,Community Reach Center,2011,2011---100,2.8333333333333335,0.16666666666666666
"Die böhmischen Länder in den Wiener Zeitschriften und Almanachen des Vormärz (1805-1848), Teil 3: Kunst: Tschechische nationale Wiedergeburt - Kultur- und Landeskunde von Böhmen, Mähren und Schlesien - Kulturelle Beziehungen zu Wien",2,"Nenita---Gresh---Debutantes School of Cosmetology and Nail Technology, LLC",Nenita,Gresh,"Debutantes School of Cosmetology and Nail Technology, LLC",2011,2011---100,2.8333333333333335,0.16666666666666666
"Die böhmischen Länder in den Wiener Zeitschriften und Almanachen des Vormärz (1805-1848), Teil 3: Kunst: Tschechische nationale Wiedergeburt - Kultur- und Landeskunde von Böhmen, Mähren und Schlesien - Kulturelle Beziehungen zu Wien",3,Mariann---Hondel---Maryland Transportation Police Academy (MDTA) Police Academy,Mariann,Hondel,Maryland Transportation Police Academy (MDTA) Police Academy,2011,2011---100,2.8333333333333335,0.16666666666666666
"Die böhmischen Länder in den Wiener Zeitschriften und Almanachen des Vormärz (1805-1848), Teil 3: Kunst: Tschechische nationale Wiedergeburt - Kultur- und Landeskunde von Böhmen, Mähren und Schlesien - Kulturelle Beziehungen zu Wien",4,Leslie---Herbold---Dominican University at Dominican Conference Center,Leslie,Herbold,Dominican University at Dominican Conference Center,2011,2011---100,2.8333333333333335,0.16666666666666666
"Die böhmischen Länder in den Wiener Zeitschriften und Almanachen des Vormärz (1805-1848), Teil 3: Kunst: Tschechische nationale Wiedergeburt - Kultur- und Landeskunde von Böhmen, Mähren und Schlesien - Kulturelle Beziehungen zu Wien",5,Marcy---Salmond---National Louis University at Washington DC Campus,Marcy,Salmond,National Louis University at Washington DC Campus,2011,2011---100,2.8333333333333335,0.16666666666666666
"Die böhmischen Länder in den Wiener Zeitschriften und Almanachen des Vormärz (1805-1848), Teil 3: Kunst: Tschechische nationale Wiedergeburt - Kultur- und Landeskunde von Böhmen, Mähren und Schlesien - Kulturelle Beziehungen zu Wien",6,Audry---Fure---Goodwin College,Audry,Fure,Goodwin College,2011,2011---100,2.8333333333333335,0.16666666666666666
Central Banking at a Crossroads: Europe and Beyond,1,Chau---Copeland---Dale Carnegie Training - The Don Adams Corporation,Chau,Copeland,Dale Carnegie Training - The Don Adams Corporation,2011,2011---101,2.6666666666666665,0.5
"Pioneers, Settlers, Aliens, Exiles: The decolonisation of white identity in Zimbabwe",1,Elaina---Gettig---Centenary College at Nixon Elementary School,Elaina,Gettig,Centenary College at Nixon Elementary School,2011,2011---102,3.3333333333333335,0.3333333333333333
"Pioneers, Settlers, Aliens, Exiles: The decolonisation of white identity in Zimbabwe",2,Ezra---Tiogangco---Magnolia Avenue Campus,Ezra,Tiogangco,Magnolia Avenue Campus,2011,2011---102,3.3333333333333335,0.3333333333333333
"Pioneers, Settlers, Aliens, Exiles: The decolonisation of white identity in Zimbabwe",3,Artie---Villapando---Delgado Community College,Artie,Villapando,Delgado Community College,2011,2011---102,3.3333333333333335,0.3333333333333333
The Drawing of the Mark of Cain: A Socio-historical Analysis of the Growth of Anti-Jewish Stereotypes,1,Marleen---Vanderark---Grand Valley State University at Meijer Campus,Marleen,Vanderark,Grand Valley State University at Meijer Campus,2011,2011---103,2.2,0.2
The Drawing of the Mark of Cain: A Socio-historical Analysis of the Growth of Anti-Jewish Stereotypes,2,Mee---Begley---William Woods University at Jefferson City Satellite,Mee,Begley,William Woods University at Jefferson City Satellite,2011,2011---103,2.2,0.2
The Drawing of the Mark of Cain: A Socio-historical Analysis of the Growth of Anti-Jewish Stereotypes,3,Loreta---Grosby---William Woods University at Hannibal-LaGrange Rowland Fine Arts Center,Loreta,Grosby,William Woods University at Hannibal-LaGrange Rowland Fine Arts Center,2011,2011---103,2.2,0.2
The Drawing of the Mark of Cain: A Socio-historical Analysis of the Growth of Anti-Jewish Stereotypes,4,"Scarlett---Fahringer---Barton County Community College at Ft Leonard Wood, 1st Infantry Division",Scarlett,Fahringer,"Barton County Community College at Ft Leonard Wood, 1st Infantry Division",2011,2011---103,2.2,0.2
The Drawing of the Mark of Cain: A Socio-historical Analysis of the Growth of Anti-Jewish Stereotypes,5,Sharmaine---Koskinen---Lincoln College of Technology - Toledo,Sharmaine,Koskinen,Lincoln College of Technology - Toledo,2011,2011---103,2.2,0.2
The British Monarchy On Screen,1,Madelaine---Picklesimer---Maric College - Lake Forest,Madelaine,Picklesimer,Maric College - Lake Forest,2011,2011---104,3.1666666666666665,0
The British Monarchy On Screen,2,Lashell---Chesner---Friends University at Labette Community College,Lashell,Chesner,Friends University at Labette Community College,2011,2011---104,3.1666666666666665,0
The British Monarchy On Screen,3,Florinda---Rutko---Westwood College - Atlanta Northlake,Florinda,Rutko,Westwood College - Atlanta Northlake,2011,2011---104,3.1666666666666665,0
The Chinese Economic Transformation: Views from Young Economists,1,Maris---Szady---Orange-Ulster BOCES,Maris,Szady,Orange-Ulster BOCES,2011,2011---105,2,0.25
The Chinese Economic Transformation: Views from Young Economists,2,Hoyt---Rigger---Miller School of Medicine - Mailman Center for Child Development,Hoyt,Rigger,Miller School of Medicine - Mailman Center for Child Development,2011,2011---105,2,0.25
The Chinese Economic Transformation: Views from Young Economists,3,Jerrold---Glidewell---Pacific College - Inland Empire Satellite Campus,Jerrold,Glidewell,Pacific College - Inland Empire Satellite Campus,2011,2011---105,2,0.25
The Chinese Economic Transformation: Views from Young Economists,4,Deanne---Stiggers---University of Redlands,Deanne,Stiggers,University of Redlands,2011,2011---105,2,0.25
Compendio del Abhidhamma: el Abhidhammattha Sangaha de Anuruddha,1,Shoshana---Danzy---Cornell University at San Diego Sunroad Corporate Centre,Shoshana,Danzy,Cornell University at San Diego Sunroad Corporate Centre,2011,2011---106,2.8333333333333335,0.5
